sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss
0.003	2833	0	0.008607927	175	0	0.027829905	5072	0	0.009076765	0	NaN	NaN	20	1	0
0.004	2059	0	0.005812507	0	NaN	NaN	6018	0	0.007749979	0	NaN	NaN	23	1	0
0.005	1948	0	0.00488091	0	NaN	NaN	6131	0	0.007167179	0	NaN	NaN	21	1	0
0.006	1547	0	0.00516779	0	NaN	NaN	6530	0	0.007658811	0	NaN	NaN	23	1	0
0.007	1392	0	0.004147266	0	NaN	NaN	6684	0	0.006725609	0	NaN	NaN	24	1	0
0.008	1587	0	0.006814814	0	NaN	NaN	6491	0	0.008242881	0	NaN	NaN	22	1	0
0.009	2107	0	0.006060802	0	NaN	NaN	5977	0	0.008964219	0	NaN	NaN	16	1	0
0.01	1879	0	0.006456191	0	NaN	NaN	6205	0	0.008368359	0	NaN	NaN	16	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2802	0	0.011775657	5294	0	0.049448017	0	NaN	NaN	0	NaN	NaN	4	1	0
6.00E-04	2675	0	0.01113077	5246	0	0.064736993	175	0	0.006603585	0	NaN	NaN	4	1	0
7.00E-04	2802	0	0.013507452	4851	0	0.054423432	442	0	0.011238853	0	NaN	NaN	5	1	0
8.00E-04	3449	0	0.010813022	4498	0	0.038030234	147	0	0.002223991	0	NaN	NaN	6	1	0
9.00E-04	3536	0	0.011004238	4172	0	0.039460955	385	0	0.005174412	0	NaN	NaN	7	1	0
0.001	3519	0	0.013128478	3859	0	0.035935128	714	0	0.008200439	0	NaN	NaN	8	1	0
0.002	4623	0	0.011948726	876	0	0.027574017	2587	0	0.008472109	0	NaN	NaN	14	1	0
0.003	2715	0	0.008326134	250	0	0.032566489	5115	0	0.0084828	0	NaN	NaN	20	1	0
0.004	1907	0	0.006189977	0	NaN	NaN	6168	0	0.007864005	0	NaN	NaN	25	1	0
0.005	2252	0	0.004178493	0	NaN	NaN	5829	0	0.008739648	0	NaN	NaN	19	1	0
0.006	2049	0	0.004200434	0	NaN	NaN	6030	0	0.008232439	0	NaN	NaN	21	1	0
0.007	1761	0	0.00431639	0	NaN	NaN	6320	0	0.009026843	0	NaN	NaN	19	1	0
0.008	2319	0	0.005008861	0	NaN	NaN	5764	0	0.008250235	0	NaN	NaN	17	1	0
0.009	1792	0	0.003592106	0	NaN	NaN	6291	0	0.007451261	0	NaN	NaN	17	1	0
0.01	1797	0	0.006375345	0	NaN	NaN	6285	0	0.009642619	0	NaN	NaN	18	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	2422	0	0.01172411	5513	0	0.058575505	161	0	0.001831501	0	NaN	NaN	4	1	0
6.00E-04	2910	0	0.012729924	5186	0	0.057368697	0	NaN	NaN	0	NaN	NaN	4	1	0
7.00E-04	2936	0	0.011232055	5012	0	0.043577632	147	0	0.002223991	0	NaN	NaN	5	1	0
8.00E-04	3643	0	0.011839899	4304	0	0.044125588	147	0	0.002223991	0	NaN	NaN	6	1	0
9.00E-04	3908	0	0.010964768	3986	0	0.038114729	199	0	0.006908206	0	NaN	NaN	7	1	0
0.001	3454	0	0.012425327	3989	0	0.039737367	649	0	0.005865393	0	NaN	NaN	8	1	0
0.002	4565	0	0.011247933	1071	0	0.030284335	2450	0	0.008780055	0	NaN	NaN	14	1	0
0.003	2706	0	0.006772907	105	0	0.019537287	5269	0	0.007991467	0	NaN	NaN	20	1	0
0.004	1805	0	0.005559639	0	NaN	NaN	6270	0	0.008986713	0	NaN	NaN	25	1	0
0.005	2193	0	0.006027847	0	NaN	NaN	5883	0	0.008541729	0	NaN	NaN	24	1	0
0.006	1816	0	0.00468941	0	NaN	NaN	6263	0	0.008021464	0	NaN	NaN	21	1	0
0.007	1455	0	0.005994427	0	NaN	NaN	6621	0	0.008798763	0	NaN	NaN	24	1	0
0.008	2232	0	0.005983658	0	NaN	NaN	5852	0	0.00881343	0	NaN	NaN	16	1	0
0.009	2020	0	0.005416209	0	NaN	NaN	6062	0	0.009677968	0	NaN	NaN	18	1	0
0.01	1703	0	0.004075554	0	NaN	NaN	6380	0	0.00873154	0	NaN	NaN	17	1	0
1.00E-04	708	0	0.012894253	7391	0	0.090056362	0	NaN	NaN	0	NaN	NaN	1	1	0
2.00E-04	1135	0	0.009183033	6963	0	0.073950279	0	NaN	NaN	0	NaN	NaN	2	1	0
3.00E-04	1842	0	0.01149996	6255	0	0.069519431	0	NaN	NaN	0	NaN	NaN	3	1	0
4.00E-04	2316	0	0.011628184	5780	0	0.061799332	0	NaN	NaN	0	NaN	NaN	4	1	0
5.00E-04	3024	0	0.011333531	5072	0	0.056756208	0	NaN	NaN	0	NaN	NaN	4	1	0
6.00E-04	2543	0	0.011872186	5409	0	0.059060082	144	0	0.00220788	0	NaN	NaN	4	1	0
7.00E-04	3043	0	0.01085613	4934	0	0.043469021	118	0	0.009960891	0	NaN	NaN	5	1	0
8.00E-04	3193	0	0.012815985	4529	0	0.043542227	372	0	0.005482437	0	NaN	NaN	6	1	0
9.00E-04	3491	0	0.012146327	4200	0	0.041767254	402	0	0.011579688	0	NaN	NaN	7	1	0
0.001	3494	0	0.012277068	3955	0	0.038130546	643	0	0.005793975	0	NaN	NaN	8	1	0
0.002	4672	0	0.009377876	1096	0	0.026245793	2318	0	0.010071781	0	NaN	NaN	14	1	0
0.003	3391	0	0.006854107	47	0	0.021868463	4642	0	0.009824501	0	NaN	NaN	20	1	0
0.004	2977	0	0.005503331	0	NaN	NaN	5102	0	0.00906423	0	NaN	NaN	21	1	0
0.005	1316	0	0.004350199	0	NaN	NaN	6759	0	0.007173579	0	NaN	NaN	25	1	0
0.006	1786	0	0.007404507	0	NaN	NaN	6291	0	0.009588032	0	NaN	NaN	23	1	0
0.007	1931	0	0.006212314	0	NaN	NaN	6151	0	0.008275468	0	NaN	NaN	18	1	0
