sampleRate	unanimous total	unanimous%	unanimousAvgLoss	defaultApproxTotal	defaultApprox%	defaultApproxAvgLoss	landslideTotal	landslide%	landslideApproxAvgLoss	ambiguousTotal	ambiguous%	ambiguousAvgLoss	noVotesTotal	noVotes%	noVotesAvgLoss	initialSamplesTotal	initialSamples%	initialSamplesAvgLoss
9.0E-4	3893	0.22707423580786026	0.011907708021435323	3993	5.008765339343851E-4	0.039002856065836325	206	0.3592233009708738	0.008166431948144834	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	3456	0.21383101851851852	0.012850880927793965	4032	2.48015873015873E-4	0.04106133547535319	603	0.29519071310116085	0.0065477970758077144	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	4538	0.2743499338915822	0.010726628239224162	1197	0.0	0.03012705690102349	2348	0.29173764906303234	0.008725702161223155	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	2749	0.35940341942524556	0.006638686784303502	35	0.14285714285714285	0.014781012702249017	5291	0.2865242865242865	0.009076505618077086	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
0.0040	2346	0.37681159420289856	0.006469580759273073	0	NaN	NaN	5724	0.3226764500349406	0.009147626912864195	0	NaN	NaN	24	1.0	0.0	6	1.0	0.0
0.0050	1540	0.41883116883116883	0.006370243447085796	0	NaN	NaN	6527	0.35866401103110157	0.007263563445821027	0	NaN	NaN	25	1.0	0.0	8	1.0	0.0
0.0060	1948	0.34394250513347024	0.006983932201371488	0	NaN	NaN	6120	0.28888888888888886	0.007897126302745562	0	NaN	NaN	23	1.0	0.0	9	1.0	0.0
0.0070	2311	0.44136737343141497	0.005981946357898375	0	NaN	NaN	5761	0.29231036278423883	0.008916810631893214	0	NaN	NaN	17	1.0	0.0	11	1.0	0.0
0.0080	1834	0.5817884405670665	0.0034368570255639674	0	NaN	NaN	6235	0.33135525260625504	0.007159701345801021	0	NaN	NaN	18	1.0	0.0	13	1.0	0.0
0.0090	1215	0.4683127572016461	0.005018781259531046	0	NaN	NaN	6850	0.2694890510948905	0.008334874695064448	0	NaN	NaN	21	1.0	0.0	14	1.0	0.0
0.01	1232	0.48295454545454547	0.004696161230266573	0	NaN	NaN	6831	0.3482652613087396	0.00761891252765608	0	NaN	NaN	21	1.0	0.0	16	1.0	0.0
1.0E-4	708	0.1751412429378531	0.012894252510195884	7391	0.0	0.09005636199372512	0	NaN	NaN	0	NaN	NaN	1	1.0	0.0	0	NaN	NaN
2.0E-4	1135	0.307488986784141	0.009183032828118167	6963	0.0	0.073950278851793	0	NaN	NaN	0	NaN	NaN	2	1.0	0.0	0	NaN	NaN
3.0E-4	1842	0.250814332247557	0.011499960411820945	6255	0.0	0.06951943063194412	0	NaN	NaN	0	NaN	NaN	3	1.0	0.0	0	NaN	NaN
4.0E-4	2316	0.22279792746113988	0.011628184208233082	5780	0.0	0.06179933248617758	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	0	NaN	NaN
5.0E-4	2493	0.22382671480144403	0.014022790010206473	5337	1.8737118231216038E-4	0.058876414029366414	265	0.4	0.009193196224618611	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
6.0E-4	2753	0.21794406102433708	0.01147992931716057	5342	0.0	0.04755260676726287	0	NaN	NaN	0	NaN	NaN	4	1.0	0.0	1	1.0	0.0
7.0E-4	3004	0.2809587217043941	0.00960729909920076	5090	0.0037328094302554026	0.03856251404876855	0	NaN	NaN	0	NaN	NaN	5	1.0	0.0	1	1.0	0.0
8.0E-4	3358	0.24121500893388922	0.011833741517801895	4446	4.49842555105713E-4	0.04385257177857009	289	0.46366782006920415	0.0024996204936892676	0	NaN	NaN	6	1.0	0.0	1	1.0	0.0
9.0E-4	3341	0.23436096976953008	0.01190342451583029	4313	2.3185717597959656E-4	0.03856430190286889	438	0.3607305936073059	0.0070011581918756295	0	NaN	NaN	7	1.0	0.0	1	1.0	0.0
0.0010	3815	0.20812581913499345	0.012183939073503694	3838	2.605523710265763E-4	0.037913282502469864	438	0.3607305936073059	0.0070011581918756295	0	NaN	NaN	8	1.0	0.0	1	1.0	0.0
0.0020	4114	0.23626640738940205	0.011111630165641007	1293	0.0	0.03339525466791762	2676	0.26905829596412556	0.009688321475895099	0	NaN	NaN	14	1.0	0.0	3	1.0	0.0
0.0030	2569	0.3250291942390035	0.009542075896524815	191	0.0	0.03607851225002605	5315	0.3365945437441204	0.007769770950953585	0	NaN	NaN	20	1.0	0.0	5	1.0	0.0
